x,L,M,S
0,0.8807,4.3539,0.15953
30,0.8807,3.1035,0.16706
60,0.8807,2.3473,0.18107
91,0.8807,1.9599,0.20017
121,0.8807,1.6524,0.22476
152,0.8807,1.3981,0.25281
182,0.8807,1.1762,0.28607
213,0.8807,0.9921,0.32161
243,0.8807,0.8471,0.35933
273,0.8807,0.7384,0.40034
304,0.8807,0.6552,0.44193
